Country,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22(e)
Australia,"-9,840","-19,390","-23,000","-21,370","-15,870","-15,500","-12,360","18,060","7,470","-14,160"
Norfolk Island,30,10,0,40,70,10,0,0,0,0
"Aust E T, nec",0,0,0,0,0,0,0,0,0,0
New Zealand,"24,740","7,240",930,"1,480","1,850","3,010","3,330",-360,"-2,150","4,910"
New Caledonia,30,10,70,50,50,-10,0,10,0,30
PNG,800,540,430,680,520,270,310,630,-180,430
Solomon Islands,110,50,100,80,80,70,50,300,990,"1,430"
Vanuatu,90,20,0,30,40,0,230,"2,450","2,290","2,030"
Guam,0,0,0,0,0,0,10,10,0,0
Kiribati,20,20,10,0,40,80,50,100,180,140
Marshall Is,0,0,0,0,0,-10,0,0,0,0
"Micronesia, F S",10,10,0,0,-10,0,0,0,0,0
Nauru,30,-10,30,20,10,-20,60,50,-20,10
N Mariana Is,0,0,0,-10,0,0,0,0,0,0
Palau,0,0,0,0,-10,0,0,0,0,0
Cook Islands,430,280,160,140,40,20,70,40,-10,20
Fiji,"1,840","1,680","1,280","1,250","1,470","1,400","2,240","2,210",810,"2,100"
French Poly,30,0,-10,20,10,20,0,10,-30,0
Niue,60,30,10,30,20,10,10,10,0,10
Samoa,"2,740","1,900","1,520","1,640","1,800","1,400","1,260","1,340","1,000","2,830"
Samoa American,70,30,20,40,20,20,20,20,0,0
Tokelau,50,-10,20,10,10,0,10,-10,-10,10
Tonga,540,620,430,340,410,460,720,"2,430","1,770","1,120"
Tuvalu,20,10,10,0,10,20,30,40,-30,20
Wallis/Futuna,0,0,0,0,0,0,0,0,0,0
Pitcairn Is,0,0,0,0,0,0,0,0,0,0
"Polynesia, nec",0,0,0,0,10,0,0,0,0,0
Adelie Land,0,0,0,0,0,0,0,0,0,0
Argentinian A T,0,0,0,0,0,0,0,0,0,0
Australian A T,0,0,0,0,0,0,0,0,0,0
British A T,0,0,0,0,0,0,0,0,0,0
Chilean A T,0,0,0,0,0,0,0,0,0,0
Queen Maud Land,0,0,0,0,0,0,0,0,0,0
Ross Dependency,0,0,0,0,0,0,0,0,0,0
"UK, CIs & IOM","25,020","12,260","9,400","9,140","10,460","7,830","7,440","10,670",-960,920
Ireland,"5,660","-1,970","-3,240","-2,240",-420,590,840,"1,260","-1,200",-510
Austria,90,20,90,20,40,10,50,60,-50,-40
Belgium,370,210,230,220,190,280,120,350,-240,-120
France,"2,470","1,930","2,080","1,320","1,150","1,220",960,"1,980","-2,190","-1,570"
Germany,"1,310",650,"1,240",650,"1,250",490,-50,"1,170","-1,090",-560
Liechtenstein,0,0,0,0,0,0,0,0,0,0
Luxembourg,10,10,0,20,20,10,10,10,0,0
Monaco,10,10,0,10,0,0,0,10,0,0
Netherlands,740,340,470,450,590,430,40,500,-420,-330
Switzerland,130,80,200,160,150,60,30,140,-90,20
Denmark,140,-10,70,100,90,-10,-10,100,-140,-60
Faroe Islands,0,0,0,0,0,0,0,0,0,0
Finland,130,140,240,90,180,20,0,30,-130,-70
Greenland,0,0,0,0,0,10,0,0,0,0
Iceland,10,20,10,-10,10,0,10,20,0,0
Norway,30,10,-40,60,30,80,-80,0,-170,60
Sweden,470,350,310,280,50,100,30,30,-230,-180
Aland Islands,0,0,0,0,0,0,0,0,0,0
Andorra,10,0,0,10,0,0,10,0,0,0
Gibraltar,10,0,0,10,0,10,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0,0
Italy,"4,470","3,830","2,580","1,550","1,000",350,220,"1,110","-1,240",-780
Malta,10,-40,-30,-20,10,20,20,20,-30,-30
Portugal,510,320,190,200,110,80,10,90,-70,-90
San Marino,0,0,0,0,0,0,0,0,0,0
Spain,"1,100",660,630,600,620,590,530,950,-600,-420
Albania,190,260,200,140,150,130,90,100,-60,0
Bosnia/Herzegov,0,-10,40,40,20,20,-20,40,-120,-320
Bulgaria,170,160,100,130,70,100,40,50,-40,-90
Croatia,100,20,50,-30,30,-80,-20,100,-110,-360
Cyprus,140,120,70,-10,20,-30,-10,20,-40,-70
North Macedonia,240,330,220,270,320,260,190,-470,-120,-10
Greece,"2,160","1,260",470,580,370,50,-150,100,-410,-540
Moldova,60,50,50,30,40,20,40,50,-10,20
Romania,390,290,220,160,170,150,110,180,-100,-110
Slovenia,100,80,80,70,50,10,20,10,-30,-50
Montenegro,20,20,30,10,10,10,10,10,0,0
Serbia,270,260,210,130,220,120,120,150,-140,-240
Kosovo,20,10,20,30,30,10,0,20,-10,0
Belarus,90,100,90,70,70,70,60,90,10,50
Czechia,360,310,250,200,170,-20,0,20,-150,-80
Estonia,640,420,160,160,260,270,90,10,-270,-60
Hungary,450,200,160,250,200,60,0,60,-110,10
Latvia,160,110,100,70,100,30,50,70,-20,20
Lithuania,220,180,180,190,230,170,100,40,-80,70
Poland,700,550,660,550,710,440,220,340,-300,-130
Russia,"1,280",910,820,650,880,760,640,860,-150,550
Slovakia,250,190,190,90,120,10,-10,-20,-100,-50
Ukraine,540,550,600,410,460,440,390,340,30,"2,420"
Algeria,70,50,20,40,30,40,50,50,-10,-10
Egypt,"1,650","1,150",940,"1,100","1,140","1,150","1,170","1,110",200,730
Libya,-100,-240,-30,30,10,30,30,20,0,-30
Morocco,110,90,120,100,100,80,90,140,10,20
Sudan,460,310,350,340,410,350,180,70,30,30
Tunisia,30,30,30,30,30,30,20,40,10,20
Western Sahara,0,0,0,0,0,0,0,0,0,0
Sp North Africa,0,0,0,0,0,0,0,0,0,0
South Sudan,90,130,320,210,410,200,90,20,10,60
Bahrain,70,60,60,80,90,70,90,70,20,90
Gaza Str/W Bank,0,0,0,10,10,10,0,0,0,0
Iran,"5,020","2,570","2,620","2,460","3,000","2,680","3,440","3,020",590,"3,190"
Iraq,"3,620","4,720","4,110","3,500","9,840","3,730","6,130","6,420",0,"3,330"
Israel,240,200,150,230,420,160,100,470,-110,-190
Jordan,360,230,270,410,500,400,350,370,70,230
Kuwait,310,210,240,190,270,70,100,110,20,370
Lebanon,"1,450","1,360","1,420","1,020","1,270","1,330","1,390","1,750",810,"1,400"
Oman,70,90,180,300,250,80,40,-330,-100,100
Qatar,70,80,70,130,140,230,220,170,50,170
Saudi Arabia,-250,500,140,-440,-190,80,"1,690",-300,"-2,100",250
Syria,470,990,"2,650","2,150","8,180","3,190","2,210",940,170,"1,100"
Turkey,230,150,90,490,940,790,860,970,-150,60
Unit Arab Emir,420,390,630,920,"1,150","1,220","1,210",790,480,970
Yemen,10,20,20,50,70,80,100,50,10,60
Myanmar,"2,190","1,600","1,830","1,880","1,590","1,580","2,480","1,750",-10,"1,320"
Cambodia,890,"1,130","1,080","1,210","1,230","1,530","1,420","1,260",-280,"1,300"
Laos,90,140,110,130,160,190,170,230,-150,210
Thailand,"3,690","5,130","5,410","5,580","5,040","2,580","3,180","1,670","-1,500","6,080"
Vietnam,"7,990","8,750","7,320","7,830","8,120","7,250","7,880","7,470","-1,420","6,550"
Brunei,10,-30,50,100,100,40,0,0,-40,150
Indonesia,"1,560","1,250","2,490","2,830","3,840","3,370","3,860","3,550","-2,510","4,090"
Malaysia,"4,440","3,660","6,680","12,100","12,180","9,590","3,230","1,520","-4,460","2,300"
Philippines,"14,210","12,830","12,430","13,000","13,590","12,620","18,400","15,350","1,080","11,570"
Singapore,"2,270","1,110","1,180",540,"2,220",660,440,"-1,380",-760,"2,320"
Timor-Leste,10,60,-20,-30,20,-20,60,"1,210",60,60
China,"22,580","30,800","39,070","45,480","50,020","44,610","20,170","-18,590","-50,270","15,150"
Hong Kong,"1,820","2,010","1,820","1,800","1,960","1,290","1,830","3,050",810,"8,040"
Macau,-30,-30,70,100,130,40,100,-80,-150,200
Mongolia,90,260,530,780,"1,030","1,220","1,550",420,-790,310
Taiwan,"7,830","3,780",980,"1,890","2,110","2,620",-130,"-3,970","-3,420","2,050"
Japan,"1,440","1,360","1,160","1,340","1,050",-350,-320,"-1,980","-1,580","1,170"
"Korea, North",-20,20,50,20,10,-10,-30,-30,-40,-30
"Korea, South","4,520","2,300","2,960","3,270","3,330","1,930",-150,"-4,330","-4,740",370
Bangladesh,"2,500","2,440","2,880","2,830","2,940","2,910","2,590","2,660",-560,"2,680"
Bhutan,600,"1,210",650,560,"1,000","1,630","1,930","1,950",-130,"1,580"
India,"23,670","33,340","38,400","40,860","49,730","55,860","73,190","59,810","-10,650","38,130"
Maldives,50,30,60,0,0,10,0,70,-30,20
Nepal,"3,180","7,310","6,410","7,970","14,880","21,000","24,060","13,340","-2,090","20,170"
Pakistan,"6,250","6,850","7,230","6,730","6,990","7,840","7,510","5,600",-730,"6,430"
Sri Lanka,"5,140","3,770","4,120","4,200","5,510","5,480","6,980","6,960",-830,"5,380"
Afghanistan,"2,480","4,190","2,900","2,760","2,970","3,320","3,040","3,070","1,460","8,050"
Armenia,20,50,30,30,30,20,10,20,10,20
Azerbaijan,40,40,40,30,20,40,20,0,-20,20
Georgia,60,30,20,40,20,40,30,20,30,20
Kazakhstan,130,100,120,80,120,100,110,110,-30,120
Kyrgyzstan,20,20,30,30,30,10,50,30,-10,10
Tajikistan,0,20,10,0,0,0,20,10,0,10
Turkmenistan,0,10,0,10,10,10,10,10,0,10
Uzbekistan,90,80,100,80,90,80,90,80,-60,40
Bermuda,10,20,10,0,10,10,0,10,0,10
Canada,"1,550","1,160","1,190","1,110","1,040",800,980,860,-400,110
St Pierre/Mique,0,0,0,0,0,0,0,0,0,0
USA,"4,540","2,320","2,450","1,540","2,750",930,620,"1,870",-10,-920
Argentina,520,470,440,510,650,880,"1,710","2,600",-390,290
Bolivia,50,10,-10,10,30,30,50,50,-10,20
Brazil,"1,450","3,560","2,360","5,830","7,510","6,260","4,510","1,790","-1,750","2,000"
Chile,300,210,450,800,980,"1,210","1,290","1,300",-400,600
